Img,Cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,label
1,117,25,81,111,30,down
2,118,84,66,96,79,down
3,143,10,41,175,7,down
4,66,12,18,61,5,down
5,45,9,35,33,13,down
6,20,10,21,26,8,down
7,20,5,39,15,6,down
8,25,6,40,33,5,down
9,35,8,63,41,5,down
10,54,11,42,64,7,down
11,61,11,55,71,6,down
12,33,9,43,38,2,down
13,92,139,89,107,106,down
14,44,19,36,27,11,down
15,50,21,26,17,5,down
16,15,5,18,15,6,down
17,17,16,30,14,17,down
18,17,5,32,14,22,down
19,16,7,40,19,6,down
20,2,0,25,4,1,down
21,101,35,28,98,39,down
22,22,46,36,21,15,down
23,22,9,12,22,4,down
24,70,182,84,83,104,down
25,40,14,26,22,5,down
26,16,6,33,9,1,down
27,19,2,32,15,5,down
28,15,4,35,12,4,down
29,9,4,34,7,1,down
30,16,12,48,16,4,down
31,18,17,55,19,5,down
32,12,2,23,9,6,down
33,20,8,40,17,8,down
34,87,76,62,101,63,down
35,118,103,47,122,68,down
36,101,64,67,98,66,down
37,91,59,117,79,60,down
38,55,14,68,58,9,down
39,63,114,94,64,84,down
40,10,28,59,14,11,down
41,83,454,21,71,243,down
42,41,67,41,56,56,down
43,35,73,60,60,90,down
44,42,71,37,78,102,down
45,37,81,39,53,148,down
46,26,47,38,52,16,down
47,9,38,13,17,42,down
48,14,56,15,23,129,down
49,23,50,25,44,67,down
50,31,53,38,36,54,down
51,27,46,16,26,82,down
52,21,35,14,15,46,down
53,11,35,16,18,43,down
54,23,37,29,25,86,down
55,38,9,39,26,13,down
56,33,26,32,46,63,down
57,108,113,44,97,64,down
58,37,42,46,49,50,down
59,28,43,27,33,62,down
60,27,56,25,42,78,down
61,14,65,23,27,95,down
62,5,52,19,15,66,down
63,7,29,17,10,64,down
64,28,39,13,27,66,down
65,32,65,36,32,85,down
66,36,50,39,46,73,down
67,44,44,44,65,48,down
68,70,54,45,109,22,down
69,28,34,28,39,58,down
70,14,35,14,17,77,down
71,24,29,26,36,89,down
72,28,32,23,41,83,down
73,18,10,41,10,20,down
74,33,24,75,29,10,down
75,16,33,36,23,2,down
76,25,25,21,28,6,down
77,28,22,29,32,5,down
78,31,15,35,43,8,down
79,45,32,49,60,25,down
80,23,8,18,34,4,down
81,22,18,21,26,2,down
82,11,1,0,13,6,down
83,52,21,21,51,15,down
84,12,3,53,18,7,down
85,28,21,27,29,6,down
86,29,55,38,40,11,down
87,23,43,46,64,25,down
88,30,22,93,45,7,down
89,63,67,55,89,34,down
90,40,52,27,79,27,down
91,73,82,44,85,71,down
92,69,87,49,108,81,down
93,56,110,51,95,108,down
94,72,93,42,105,116,down
95,41,67,27,53,92,down
96,45,53,17,46,43,down
97,40,64,29,44,50,down
98,30,75,20,43,66,down
99,41,72,33,39,39,down
100,48,75,31,54,53,down
101,51,63,38,97,30,down
102,46,65,21,60,41,down
103,29,55,17,57,48,down
104,39,22,18,56,31,down
105,23,15,22,39,13,down
106,74,33,39,49,25,down
107,62,64,41,62,28,down
108,52,36,22,49,53,down
109,30,40,18,23,46,down
110,15,11,15,21,22,down
111,15,7,13,22,12,down
112,117,25,81,111,30,down
113,44,72,26,76,25,down
114,15,13,5,9,39,down
115,23,36,5,33,63,down
116,42,46,15,47,61,down
117,53,38,21,48,25,down
118,31,51,32,32,30,down
119,30,43,12,43,29,down
120,21,42,15,27,37,down
121,29,42,15,40,48,down
122,33,48,28,55,69,down
123,52,72,52,88,78,down
124,47,42,35,60,7,down
125,83,27,102,87,11,down
126,70,64,64,84,13,down
127,89,58,63,74,31,down
128,95,66,37,90,44,down
129,105,65,71,122,56,down
130,69,45,50,113,25,down
131,107,70,36,165,57,down
132,101,67,52,118,80,down
133,85,57,29,126,50,down
134,77,59,45,92,42,down
135,59,54,27,80,17,down
136,78,64,36,102,57,down
137,71,64,38,112,50,down
138,74,47,38,117,35,down
139,39,21,47,37,3,down
140,111,12,61,73,15,down
141,6,1,2,2,1,down
142,61,39,50,73,24,down
143,43,76,23,49,45,down
144,72,41,56,80,23,down
145,108,85,64,120,41,down
146,66,70,44,88,38,down
147,45,43,54,49,19,down
148,76,46,70,90,23,down
149,81,35,47,87,33,down
150,87,71,47,107,44,down
151,76,42,35,73,36,down
152,48,6,23,57,12,down
153,52,12,33,49,16,down
154,52,26,36,45,21,down
155,17,9,18,20,8,down
156,24,13,23,15,10,down
157,42,42,54,64,30,down
158,9,1,22,12,1,down
159,12,2,21,8,7,down
160,30,14,62,33,12,down
161,78,86,88,85,56,down
162,154,72,41,135,54,down
163,44,51,32,81,12,down
164,51,89,31,79,24,down
165,46,69,23,77,15,down
166,45,53,23,45,11,down
167,10,4,12,20,12,down
168,28,50,35,57,11,down
169,30,63,85,40,41,down
170,39,75,98,49,56,down
171,37,76,107,48,34,down
172,33,57,78,46,35,down
173,34,91,104,50,39,down
174,32,84,110,56,37,down
175,42,52,60,41,29,down
176,40,102,88,36,44,down
177,64,60,84,45,46,down
178,20,2,23,16,2,down
179,31,21,51,34,24,down
180,67,37,77,81,32,down
181,28,21,66,40,24,down
182,38,61,90,45,54,down
183,42,82,118,44,73,down
184,37,61,116,44,13,down
185,15,59,83,21,11,down
186,50,46,94,39,12,down
187,45,64,114,35,22,down
188,59,73,106,43,38,down
189,15,26,45,9,2,down
190,48,23,36,35,29,down
191,41,19,21,33,25,down
192,24,22,21,65,18,down
193,68,32,46,67,28,down
194,16,18,37,23,4,down
195,31,9,22,64,10,down
196,50,38,20,61,28,down
197,64,35,44,58,31,down
198,34,14,22,51,17,down
199,31,13,20,40,15,down
200,80,60,57,64,32,down
201,41,16,17,37,18,down
202,50,13,20,32,6,down
203,50,27,50,52,26,down
204,45,9,22,40,12,down
205,28,7,43,24,4,down
206,6,2,33,10,5,down
207,25,10,14,28,6,down
208,103,66,119,97,46,down
209,94,78,61,87,59,down
210,51,78,141,54,43,down
211,113,51,103,136,23,down
212,78,85,149,54,61,down
213,104,63,101,84,46,down
214,136,71,126,101,56,down
215,147,39,40,117,60,down
216,91,106,103,66,78,down
217,82,59,113,72,36,down
218,24,29,42,15,26,down
219,89,70,84,55,45,down
220,93,71,150,83,53,down
221,134,77,106,104,60,down
222,5,4,83,8,3,down
223,94,78,82,89,63,down
224,64,14,51,47,33,down
225,77,92,75,76,42,down
226,18,58,26,32,61,down
227,26,92,69,47,111,down
228,18,64,25,38,154,down
229,7,41,22,15,86,down
230,5,24,15,11,23,down
231,4,25,11,7,50,down
232,7,19,16,13,20,down
233,36,54,40,61,40,down
234,14,56,24,10,96,down
235,18,25,21,17,38,down
236,18,43,37,16,77,down
237,13,19,25,20,63,down
238,7,12,8,8,21,down
239,9,27,6,12,41,down
240,11,33,31,14,81,down
241,28,24,26,44,75,down
242,51,25,35,42,36,down
243,96,18,55,116,18,down
244,145,104,45,107,137,up
245,175,48,52,79,83,up
246,69,85,75,103,68,up
247,67,80,51,106,69,up
248,115,60,65,70,48,up
249,133,67,47,90,67,up
250,53,34,130,49,15,up
251,79,104,123,48,41,up
252,142,68,45,157,80,up
253,36,66,64,84,13,up
254,46,44,68,62,12,up
255,49,57,40,52,55,up
256,40,195,42,108,50,up
257,55,51,26,48,56,up
258,135,79,57,158,84,up
259,137,93,64,151,58,up
260,59,86,56,92,38,up
261,48,88,53,105,73,up
262,117,72,102,69,51,up
263,136,71,104,81,75,up
264,188,111,47,173,76,up
265,119,84,58,104,79,up
266,175,44,84,181,20,up
267,169,49,78,57,39,up
268,39,6,60,32,13,up
269,97,94,71,198,56,up
270,135,11,90,130,6,up
271,142,17,96,135,12,up
272,194,49,91,186,27,up
273,119,43,86,104,33,up
274,65,32,90,35,48,up
275,40,38,62,41,45,up
276,31,34,28,39,43,up
277,84,122,30,110,97,up
278,54,69,78,35,7,up
279,57,55,36,84,59,up
280,38,50,24,44,57,up
281,55,55,25,50,30,up
282,51,19,50,54,11,up
283,26,9,49,18,6,up
284,77,81,57,72,27,up
285,25,14,81,10,0,up
286,80,18,95,60,19,up
287,21,9,44,9,6,up
288,46,26,63,34,5,up
289,251,102,32,186,137,up
290,21,9,68,11,1,up
291,16,16,23,19,22,up
292,20,12,20,26,28,up
293,17,8,25,8,29,up
294,128,81,61,94,78,up
295,81,108,96,27,160,up
296,28,32,19,27,4,up
297,22,19,46,18,31,up
298,50,80,15,39,34,up
299,84,84,65,43,46,up
300,29,46,72,28,83,up
301,63,95,40,28,115,up
302,46,37,93,40,46,up
303,53,80,34,133,38,up
304,109,80,83,54,79,up
305,27,36,41,30,25,up
306,192,95,224,131,104,up
307,98,115,72,163,82,up
308,63,36,80,80,59,up
309,36,13,23,28,26,up
310,45,66,42,56,53,up
311,19,31,67,31,49,up
312,164,94,59,193,93,up
313,108,78,27,94,73,up
314,17,1,11,10,7,up
315,17,1,11,10,7,up
316,93,33,26,64,37,up
317,93,33,26,64,37,up
318,26,24,36,16,15,up
319,26,24,36,16,15,up
320,216,44,65,213,63,up
321,46,12,13,55,14,up
322,41,47,101,35,56,up
323,62,18,43,91,20,up
324,86,49,51,90,68,up
325,183,91,43,196,85,up
326,7,9,6,11,4,up
327,189,67,48,168,28,up
328,29,38,34,41,60,up
329,32,36,43,40,20,up
330,62,65,54,71,46,up
331,193,50,79,181,65,up
332,39,66,80,50,39,up
333,26,73,96,21,72,up
334,121,46,34,102,44,up
335,133,50,78,141,48,up
336,12,0,21,4,1,up
337,10,2,21,9,3,up
338,18,0,14,1,5,up
339,23,1,25,2,3,up
340,3,0,2,0,0,up
341,7,16,30,6,18,up
342,9,1,26,7,0,up
343,5,6,4,1,0,up
344,22,30,121,36,39,up
345,30,20,59,11,15,up
346,15,8,77,6,20,up
347,14,14,14,8,0,up
348,6,17,21,5,6,up
349,11,34,60,7,20,up
350,23,2,47,5,5,up
351,15,6,65,11,8,up
352,23,21,21,11,10,up
353,18,4,10,8,26,up
354,10,3,8,4,9,up
355,21,0,3,6,3,up
356,51,54,91,46,34,up
357,21,16,13,57,21,up
358,5,6,10,2,11,up
359,16,4,29,25,7,up
360,14,21,49,19,4,up
361,13,19,55,18,9,up
362,19,16,28,16,6,up
363,17,14,15,16,6,up
364,23,22,55,26,11,up
365,26,18,44,23,8,up
366,11,14,45,18,19,up
367,34,56,71,38,52,up
368,16,14,28,25,13,up
369,23,40,33,26,40,up
370,16,17,57,17,9,up
371,19,10,38,16,14,up
372,12,11,41,14,13,up
373,12,14,43,17,20,up
374,11,14,45,18,19,up
375,12,12,38,16,14,up
376,18,14,39,21,21,up
377,24,22,49,22,8,up
378,59,19,137,47,26,up
379,12,7,34,19,9,up
380,12,8,39,23,17,up
381,19,12,34,19,11,up
382,12,9,29,20,16,up
383,14,11,26,19,7,up
384,14,11,28,17,9,up
385,19,14,38,23,19,up
386,11,11,32,20,14,up
387,15,9,23,20,8,up
388,13,11,34,16,7,up
389,14,34,68,14,24,up
390,14,9,38,16,17,up
391,14,38,22,25,32,up
392,23,40,33,26,40,up
393,14,48,26,26,27,up
394,13,42,26,16,42,up
395,216,44,65,213,63,up
396,35,1,23,11,3,up
397,60,54,64,38,34,up
398,60,54,64,38,34,up
399,9,14,47,25,26,up
400,14,28,54,10,40,up
401,9,14,47,25,26,up
402,34,78,53,26,60,up
403,34,78,53,26,60,up
404,185,103,52,197,80,up
405,185,103,52,197,80,up
406,33,5,47,7,5,up
407,12,5,55,17,22,up
408,233,40,58,262,49,up
409,164,122,97,168,30,up
410,110,54,45,106,62,up
411,16,34,58,18,57,up
412,65,62,76,73,26,up
413,77,9,13,73,15,up
414,66,31,102,83,18,up
415,106,42,62,114,36,up
416,131,60,58,127,48,up
417,27,9,41,16,6,up
418,132,58,71,126,36,up
419,97,31,71,83,28,up
420,47,20,34,16,7,up
421,132,36,69,138,43,up
422,7,4,27,3,31,up
423,113,46,56,91,34,up
424,101,56,40,111,43,up
425,0,11,43,0,81,up
426,2,14,53,6,50,up
427,5,9,71,13,55,up
428,324,113,39,161,60,up
429,22,22,82,28,33,up
430,8,36,76,22,61,up
431,9,21,55,16,39,up
432,18,25,90,24,33,up
433,59,41,53,49,35,up
434,30,64,56,34,40,up
435,49,46,84,55,46,up
436,44,49,80,43,49,up
437,52,26,43,50,20,up
438,26,43,50,24,29,up
439,40,55,37,38,53,up
440,23,48,43,14,54,up
441,51,32,51,56,41,up
442,48,20,69,44,34,up
443,49,41,53,61,28,up
444,69,53,70,55,27,up
445,59,90,102,41,54,up
446,29,31,75,31,18,up
447,28,33,100,43,19,up
448,19,52,76,38,47,up
449,31,61,54,34,31,up
450,31,22,24,21,12,up
451,49,54,73,52,33,up
452,48,28,55,56,27,up
453,16,15,35,15,8,up
454,41,14,66,61,31,up
455,58,31,84,46,41,up
456,15,14,35,8,8,up
457,48,22,84,52,24,up
458,46,17,133,44,12,up
459,57,22,146,40,24,up
460,37,17,90,42,21,up
461,24,37,57,35,25,up
462,8,7,75,9,17,up
463,31,11,106,24,26,up
464,26,4,106,19,12,up
465,22,10,121,13,10,up
466,16,1,72,12,13,up
467,58,38,126,36,38,up
468,55,34,126,43,47,up
469,30,25,107,32,21,up
470,28,15,143,32,6,up
471,28,56,62,19,53,up
472,4,1,6,4,3,up
473,35,52,88,32,47,up
474,22,47,63,26,54,up
475,33,60,57,25,57,up
476,20,28,46,21,33,up
477,44,57,71,39,56,up
478,32,73,48,25,32,up
479,26,50,55,26,64,up
480,18,43,60,33,33,up
481,19,48,67,33,65,up
482,68,26,115,48,24,up
483,8,24,17,11,11,up
484,70,33,90,44,30,up
485,68,33,152,41,41,up
486,73,27,111,60,20,up
487,25,49,74,25,41,up
488,42,31,38,35,19,up
489,28,13,113,33,16,up
490,69,27,42,57,19,up
491,92,60,38,92,88,up
492,83,50,72,105,56,up
493,79,58,68,91,87,up
494,34,8,86,56,9,up
495,135,54,97,156,79,up
496,111,71,99,152,85,up
497,116,57,41,127,79,up
498,128,65,47,126,105,up
499,98,80,30,90,88,up
500,119,55,50,159,52,up
501,86,63,62,143,87,up
502,56,29,87,41,45,up
503,73,42,77,38,45,up
504,54,22,77,42,16,up
